,Compound,Date,Negative,Neutral,Positive,Source,Text,Tweets Ago
0,0.7096,Tue Oct 30 19:54:03 +0000 2018,0.0,0.718,0.282,BBC,💖 Japan’s Princess Ayako has surrendered her royal title to marry the man she loves.  https://t.co/sk8Ngj8Hdb,1
1,0.0258,Tue Oct 30 19:06:04 +0000 2018,0.101,0.741,0.159,BBC,"Sid is one of the growing number of women who are performing in drag.
(via @BBCThree) https://t.co/YWwiNNn603",2
2,0.0,Tue Oct 30 18:09:02 +0000 2018,0.0,1.0,0.0,BBC,"🦌 Not everyone is slowing down as the days get shorter and the cold sets in. 

Meet Britain’s busiest autumn animal… https://t.co/MCljdtQxWu",3
3,0.0,Tue Oct 30 17:02:06 +0000 2018,0.0,1.0,0.0,BBC,"I'm old at heart 🤷‍♀️
https://t.co/D5USf6s83x",4
4,0.0772,Tue Oct 30 16:25:13 +0000 2018,0.0,0.949,0.051,BBC,"RT @BBCCiN: Last night on the @BBCTheOneShow we met Kayla. She'll be taking on the Rickshaw Challenge with Kieran, Maisie and the rest of t…",5
5,0.0,Tue Oct 30 14:08:02 +0000 2018,0.0,1.0,0.0,BBC,We live in a society where we are constantly told that we are exceptional and unique... but it turns out that somet… https://t.co/JrKmfOxgvj,6
6,0.886,Tue Oct 30 13:03:03 +0000 2018,0.0,0.551,0.449,BBC,"You haVe to be Very, Very, Very cleVer to solVe this... 😄 
#OnlyConnect https://t.co/uhWkzybWWf",7
7,0.743,Tue Oct 30 12:01:05 +0000 2018,0.065,0.687,0.247,BBC,"😂 @RitaOra as @PostMalone is 🙌

The celebrity costumes winning this #Halloween.
👉 https://t.co/RTpGmYoHQw https://t.co/tXzNDYKYf1",8
8,0.0,Tue Oct 30 11:09:15 +0000 2018,0.0,1.0,0.0,BBC,"Venice under water as Italy hit by fierce wind and heavy rain.
👉 https://t.co/VRJ1oBJgoz https://t.co/vifdoS0Q5W",9
9,-0.4767,Tue Oct 30 10:20:56 +0000 2018,0.245,0.659,0.095,BBC,"RT @BBCTwo: Could Grenfell have been avoided? Watch the dramatic, haunting story of five fires and clear warnings that foretold the disaste…",10
10,-0.4588,Tue Oct 30 09:01:05 +0000 2018,0.444,0.556,0.0,BBC,The Mediterranean has a serious plastic problem. https://t.co/0yQxNvQoNv,11
11,-0.5719,Tue Oct 30 08:07:02 +0000 2018,0.222,0.778,0.0,BBC,"How to cope when your partner has depression.
👉 https://t.co/XXstUicKsb https://t.co/wCm1bOmVcy",12
12,0.0,Tue Oct 30 07:20:05 +0000 2018,0.0,1.0,0.0,BBC,🐶❤️ These dogs are changing the lives of army veterans.  https://t.co/Ow8HeMHyKn,13
13,0.0,Mon Oct 29 20:11:03 +0000 2018,0.0,1.0,0.0,BBC,"British Summer Time is over. Do the Tundra. 
(via @BBCThree) https://t.co/5RRBpwUpjM",14
14,0.474,Mon Oct 29 19:08:06 +0000 2018,0.0,0.618,0.382,BBC,"Dumbledore? More like “Dumble-DAMN!” 
#TheGNShow https://t.co/ECOcBcCRF4",15
15,-0.3612,Mon Oct 29 18:12:07 +0000 2018,0.205,0.655,0.14,BBC,"🤷‍♀️😼 Ever wondered if your teeny tiny adorable cat is actually trying to kill you? 
#NationalCatDay https://t.co/FyonKEdYPp",16
16,-0.3595,Mon Oct 29 17:18:45 +0000 2018,0.161,0.839,0.0,BBC,"RT @BBCTwo: Because it's #NationalCatDay, here's the story of @JoeLycett's missing cat! 😹😹 https://t.co/PnWfcWy1oU",17
17,0.6808,Mon Oct 29 17:05:04 +0000 2018,0.0,0.663,0.337,BBC,❤️🎂 These children surprised their janitor by signing the Happy Birthday song. https://t.co/bxMNfoeusN,18
18,0.8883,Mon Oct 29 17:04:00 +0000 2018,0.0,0.657,0.343,BBC,"RT @BBCCiN: Just when Josh needs a boost, @EdSheeran pops up with a welcome message. 

Josh: ""That's Ed...what's he doin' on there?!"" 😄

@B…",19
19,0.8388,Mon Oct 29 15:59:27 +0000 2018,0.0,0.765,0.235,BBC,"RT @BBCCiN: There's SO many good reasons to get out and ramble. And SOO many lovely ramble hats out there too! 🤩

You can still set up your…",20
20,0.4215,Mon Oct 29 15:13:03 +0000 2018,0.0,0.823,0.177,BBC,"🐾😺 Science has confirmed: cats are nice. #NationalCatDay
👉 https://t.co/nTtAUxYl6v https://t.co/XfDmYHaGKD",21
21,0.25,Mon Oct 29 14:03:03 +0000 2018,0.091,0.769,0.139,BBC,"Forget the six-pack, invest in a baby carrier instead...

Thanks to Daniel Craig, #BabyWearingDad is now the hottes… https://t.co/EAQX5Kff5F",22
22,0.5093,Mon Oct 29 12:52:05 +0000 2018,0.0,0.829,0.171,BBC,"😻 Rusty spotted cats are the world's smallest (and cutest?!) cats. 
#NationalCatDay  https://t.co/PgIC5WfdaJ",23
23,-0.4588,Mon Oct 29 12:46:33 +0000 2018,0.136,0.864,0.0,BBC,"RT @BBCSport: Heartbreaking pictures.

Vichai Srivaddhanaprabha's son Aiyawatt and wife Aimon have been to lay flowers at King Power Stadiu…",24
24,0.6124,Mon Oct 29 12:43:58 +0000 2018,0.0,0.846,0.154,BBC,RT @BBCBodyPositive: You’re gorgeous just the way you are...we’re willing to bet we aren’t the only ones who think so 😍. #WhatISee https://…,25
25,0.5719,Mon Oct 29 11:55:09 +0000 2018,0.0,0.861,0.139,BBC,🌸💀 A parade was held in Mexico City on Saturday evening to honour the start of the annual Día de Muertos (Day of th… https://t.co/xgsXWSf5dE,26
26,-0.5574,Mon Oct 29 09:02:05 +0000 2018,0.194,0.806,0.0,BBC,"🇫🇷 France is the first country to ban supermarkets from throwing away food.
(via @BBCThree) https://t.co/Gw4VSHGA32",27
27,0.5267,Mon Oct 29 08:13:06 +0000 2018,0.107,0.641,0.252,BBC,"Being bad-tempered and pessimistic could help you to earn more, live longer and enjoy a healthier marriage. 

It’s… https://t.co/m86hDJ1Ghz",28
28,0.0,Mon Oct 29 07:25:00 +0000 2018,0.0,1.0,0.0,BBC,"When all the stars align...
#Impossible https://t.co/RgFGHUG13o",29
29,-0.5574,Sun Oct 28 20:53:06 +0000 2018,0.213,0.787,0.0,BBC,"When Arthur Flitwick finds a mobile phone in a graveyard, he makes the mistake of trying to contact the owner.… https://t.co/QjE2p89yFc",30
30,0.049,Sun Oct 28 20:02:03 +0000 2018,0.185,0.613,0.202,BBC,"Don't like plastic straws? 

👍🍝 Here's a genius solution. https://t.co/79fOaOmak3",31
31,-0.7177,Sun Oct 28 19:03:02 +0000 2018,0.263,0.737,0.0,BBC,"😱😱😱 If you kill a wasp, MORE will come back to take its place! 
#QI https://t.co/eWreMnPPwF",32
32,0.0,Sun Oct 28 17:55:07 +0000 2018,0.0,1.0,0.0,BBC,"Why did J-Hope choose this stage name? When are their birthdays?  Who bites their nails?

How much do you know abou… https://t.co/Hqe7h1ueFM",33
33,0.0,Sun Oct 28 17:12:03 +0000 2018,0.0,1.0,0.0,BBC,"Start them young! 
🐶😍 Two-year-old Freddie is already training the dogs.  https://t.co/7LsBHnck3K",34
34,0.3612,Sun Oct 28 16:05:06 +0000 2018,0.0,0.848,0.152,BBC,"Chimpanzees show empathy and altruism just like humans do. 

Could we learn from them? 
 https://t.co/fAcjiLmZKA",35
35,0.0,Sun Oct 28 15:11:06 +0000 2018,0.0,1.0,0.0,BBC,"🥛☕️🤔 When you make a cup of tea, does the milk go in first or last?

Here's what #QI had to say on the controversia… https://t.co/ygoaQNLPoW",36
36,0.0,Sun Oct 28 14:09:02 +0000 2018,0.0,1.0,0.0,BBC,"The #ChildrenInNeed Annual Duck Race Sweepstake is back! *cue the music*

📝 Get posters from the @BBCCiN site
🦆 Don… https://t.co/5iZ9toxjxK",37
37,-0.2732,Sun Oct 28 12:52:03 +0000 2018,0.137,0.773,0.09,BBC,The same virus that causes cold sores appears to create lasting damage in the brain - a discovery that could sugges… https://t.co/yU9R5x6N4j,38
38,-0.7717,Sun Oct 28 12:08:07 +0000 2018,0.358,0.642,0.0,BBC,".@ProfessorGreen meets young men whose illegal dogs are trained to attack. 
(via @BBCThree) https://t.co/yE4DyXi5zV",39
39,0.4588,Sun Oct 28 10:11:04 +0000 2018,0.0,0.75,0.25,BBC,"Honestly, I'll apply for any job at this point... https://t.co/HYxY3JL0Cf",40
40,0.0,Sun Oct 28 10:03:58 +0000 2018,0.0,1.0,0.0,BBC,RT @BBCOne: We could have had an extra HOUR in bed! https://t.co/hh2M3Jof0w,41
41,0.5267,Sun Oct 28 09:08:06 +0000 2018,0.0,0.827,0.173,BBC,"💊 The vitamin industry is booming and we Brits have bought into it in a big way.

But can a vitamin pill a day real… https://t.co/OIIAc7zu2d",42
42,-0.1027,Sun Oct 28 08:49:16 +0000 2018,0.06,0.94,0.0,BBC,"RT @BBCTwo: It’s hard to believe how many dolphins and whales live in this small patch of water. 🐳🐬 

#Mediterranean with @Simon_Reeve | Su…",43
43,-0.296,Sun Oct 28 08:01:06 +0000 2018,0.268,0.732,0.0,BBC,📚 This library has no rules. https://t.co/TLWJHUF71j,44
44,0.25,Sat Oct 27 19:18:05 +0000 2018,0.0,0.913,0.087,BBC,"🎨🤖 An artwork created by an AI program has been sold at auction for $432,000 (£337,000). 
👉 https://t.co/Wdu4meSMIa https://t.co/ZtXs6GP15V",45
45,0.4404,Sat Oct 27 17:45:08 +0000 2018,0.129,0.612,0.259,BBC,😂 When #Strictly met the Boosh. https://t.co/nmcroLwIKG,46
46,0.7717,Sat Oct 27 17:04:05 +0000 2018,0.0,0.642,0.358,BBC,"🐾 The Scottish wildcat - beautiful, powerful, and on the edge of extinction.  https://t.co/CeUFt9jwJn",47
47,0.0,Sat Oct 27 16:10:02 +0000 2018,0.0,1.0,0.0,BBC,"For us it seems completely normal to buy a cup of coffee, drink it, and throw the cup away. 

But it was not always… https://t.co/PlnNljS2o0",48
48,0.0,Sat Oct 27 15:14:05 +0000 2018,0.0,1.0,0.0,BBC,"Remember Cher Horowitz, the fashion-obsessed Beverly Hills high-school girl who stole our hearts in the 1995 teen f… https://t.co/eXlpggoKN9",49
49,0.4019,Sat Oct 27 14:13:04 +0000 2018,0.0,0.847,0.153,BBC,🌮 Say goodbye to shop-bought taco shells with @BBCFood's nifty way to make your own. https://t.co/LXGGo0kOjw,50
50,0.5411,Sat Oct 27 11:54:03 +0000 2018,0.0,0.811,0.189,BBC,"🔙⏰ Remember the #ClocksGoBack on Sunday morning.

😴 Enjoy that extra hour of sleep! https://t.co/w7oxt32UDQ",51
51,-0.8591,Sat Oct 27 11:34:00 +0000 2018,0.333,0.667,0.0,BBC,Karl suffered terrible injuries in Iraq when he was set alight by a petrol bomb. Now he runs marathons and is takin… https://t.co/y9OQ60xISB,52
52,0.4767,Sat Oct 27 11:17:51 +0000 2018,0.0,0.78,0.22,BBC,RT @BBCSport: It was a star-studded medal ceremony at the Invictus Games. https://t.co/6KTon5TqWA,53
53,0.0,Sat Oct 27 11:14:05 +0000 2018,0.0,1.0,0.0,BBC,😬😬😬 https://t.co/JuOZ01pWAS,54
54,-0.5574,Sat Oct 27 10:09:05 +0000 2018,0.286,0.714,0.0,BBC,How to navigate the nasty side of social media… https://t.co/huPdnadDwD,55
55,0.8074,Sat Oct 27 10:06:04 +0000 2018,0.0,0.7,0.3,BBC,"The way our best friends see us is often so different to how we see ourselves. 
(via @BBCBodyPositive) https://t.co/u4xoxKPMYN",56
56,0.8271,Sat Oct 27 09:08:05 +0000 2018,0.081,0.565,0.353,BBC,❤️ @GaryScribbler's beautifully poignant animation details what family life is like since the loss of his wife Joy. https://t.co/zvoHQ03FNF,57
57,0.3818,Sat Oct 27 08:17:03 +0000 2018,0.0,0.833,0.167,BBC,"🍂🍁 Stunning autumnal scenes from around the world. 
👉 https://t.co/EmUZor2X3D https://t.co/h24R3u9ZXo",58
58,-0.3182,Sat Oct 27 07:05:00 +0000 2018,0.099,0.901,0.0,BBC,"Kushal was only 25 when he lost both his legs during a tour of Afghanistan.

Now he's representing the UK at the… https://t.co/egVLlQG0No",59
59,0.4939,Fri Oct 26 19:07:05 +0000 2018,0.083,0.696,0.222,BBC,😂 When your parents want you to skip uni and be a reality TV star. https://t.co/IDhLMblJY5,60
60,0.4939,Fri Oct 26 18:05:04 +0000 2018,0.0,0.738,0.262,BBC,"😂📱 @FrankieBoyle on the joys of Twitter bios...
#LiveAtTheApollo  https://t.co/huZCxeHKRZ",61
61,-0.4767,Fri Oct 26 16:30:00 +0000 2018,0.154,0.846,0.0,BBC,"After suffering two strokes, Kelly was left partially sighted and was medically discharged from the army. 

Competi… https://t.co/czTBnVDt3z",62
62,0.0,Fri Oct 26 16:03:03 +0000 2018,0.0,1.0,0.0,BBC,Relatable https://t.co/3ameI9awqL,63
63,-0.5093,Fri Oct 26 16:01:32 +0000 2018,0.163,0.837,0.0,BBC,"RT @BBCScotland: It has begun! Snow is falling at the Glencoe Mountain Resort ❄️🌨

A yellow 'be aware' warning has been issued for the High…",64
64,0.0,Fri Oct 26 15:31:06 +0000 2018,0.0,1.0,0.0,BBC,"😂🏄 How we feel leaving the office on a Friday afternoon. 
#FridayFeeling https://t.co/avzJxAHxzK",65
65,-0.4588,Fri Oct 26 14:39:18 +0000 2018,0.364,0.636,0.0,BBC,RT @BBCTwo: The #Mediterranean has a serious plastic problem. https://t.co/NEYour08tH,66
66,-0.4003,Fri Oct 26 13:59:39 +0000 2018,0.31,0.69,0.0,BBC,RT @bbcstrictly: Keeeeep sleeping! ⏰ https://t.co/3OJdm0XZfk,67
67,0.4588,Fri Oct 26 13:58:57 +0000 2018,0.0,0.889,0.111,BBC,"RT @BBCScotland: Watch the sky turn from yellow to red to pink in this stunning timelapse of the sunset in Aberdeen, captured by Fiona Balh…",68
68,-0.2714,Fri Oct 26 13:51:19 +0000 2018,0.186,0.694,0.12,BBC,"RT @BBCTwo: Can you guess the horror movie from the emojis? 🎃😱💀👻🎬

#InsideNo9's @ReeceShearsmith and @SP1nightonly gave it a go...! 😂 https…",69
69,0.7003,Fri Oct 26 13:04:08 +0000 2018,0.0,0.674,0.326,BBC,"👊🖐✌️
Three simple strategies to help you triumph at that all-important game, rock-paper-scissors. https://t.co/1fnLFffyVI",70
70,-0.1783,Fri Oct 26 13:03:05 +0000 2018,0.175,0.717,0.108,BBC,"🦄😱 Cancel all your holiday plans - there's an inflatable unicorn island!

🙈 Look away if you don't like pastels...… https://t.co/YnQXuMnwvo",71
71,0.1511,Fri Oct 26 11:51:44 +0000 2018,0.0,0.863,0.137,BBC,"💚🎶 You’ll want sound on for this! 
*Goosebumps*
#Dynasties 🐵🐧🦁🐺🐯 https://t.co/oEcQTD2q90",72
72,0.2732,Fri Oct 26 11:45:21 +0000 2018,0.0,0.769,0.231,BBC,RT @bbcdoctorwho: Jodie's Costume Creation @HolmanRay #DoctorWho https://t.co/rZfPiXM5ka,73
73,0.0,Fri Oct 26 11:08:01 +0000 2018,0.0,1.0,0.0,BBC,"‘The legacy they're leaving, and leading, is very special.’

Ambassador, David Beckham wants his sons to draw inspi… https://t.co/iz4XZ2a6cS",74
74,0.0,Fri Oct 26 10:55:28 +0000 2018,0.0,1.0,0.0,BBC,"RT @BBCCiN: The Annual Duck Race Sweepstake is back! *cue the music*

📝 Get posters from our site
🦆 Donate £2 to pick a duck
🏁 Watch the ra…",75
75,0.5719,Fri Oct 26 09:50:53 +0000 2018,0.0,0.829,0.171,BBC,"People have been recreating their Stonehenge photos from decades ago to celebrate 100 years of public ownership. 
👉… https://t.co/hoAtVExEa8",76
76,0.3818,Fri Oct 26 09:22:00 +0000 2018,0.0,0.794,0.206,BBC,"Wheelchair rugby is called ""murderball"" for a reason 😲
#InvictusGames https://t.co/Cc7slttOGH",77
77,-0.4019,Fri Oct 26 08:03:03 +0000 2018,0.153,0.847,0.0,BBC,"👏 Daniela taught herself robotics, and now she’s made a wearable sensor for blind people. 
 https://t.co/p3kSQIKIrD",78
78,0.0,Fri Oct 26 07:09:04 +0000 2018,0.0,1.0,0.0,BBC,"These striking photos show the scars left by humankind on the face of our planet.
👉 https://t.co/4jrQk41NLG https://t.co/ydkacF3dtD",79
79,0.2235,Fri Oct 26 06:06:03 +0000 2018,0.0,0.9,0.1,BBC,"Wayne had never painted until he had a seizure two years ago.

🎨 Now he can't stop. https://t.co/7FRWzDqw2z",80
80,0.2023,Thu Oct 25 18:53:02 +0000 2018,0.0,0.904,0.096,BBC,"🧙💫 A top Indian law university has introduced a course based on the fictional world of Harry Potter.
👉… https://t.co/yd5EyRh4YD",81
81,0.0,Thu Oct 25 18:06:05 +0000 2018,0.0,1.0,0.0,BBC,🖼👮😂 The time @JoeLycett helped with a #QI art heist... https://t.co/Xf94Sik9l8,82
82,0.4588,Thu Oct 25 16:55:06 +0000 2018,0.071,0.746,0.183,BBC,"😂 A Dutch town has officially opened a 'silly walks' road crossing and it's a hit. 
👉 https://t.co/N9jvQIalb4 https://t.co/il4u78Uwkn",83
83,0.0,Thu Oct 25 16:29:22 +0000 2018,0.0,1.0,0.0,BBC,RT @bbcwritersroom: #TheLittleDrummerGirl is @BBCOne's new drama beginning Sunday (28th Oct). We caught up with #screenwriters Michael Less…,84
84,0.5719,Thu Oct 25 16:04:05 +0000 2018,0.0,0.701,0.299,BBC,"🐕🎶 These police dogs are played classical music to calm them down.  
 https://t.co/oJx93C2mc6",85
85,-0.2755,Thu Oct 25 14:35:10 +0000 2018,0.19,0.81,0.0,BBC,"Don't like plastic straws? 
👍🍝 Here's a genius alternative... 
#WorldPastaDay https://t.co/79fOaOmak3",86
86,0.0,Thu Oct 25 12:56:05 +0000 2018,0.0,1.0,0.0,BBC,Two unborn babies have had their spines repaired by surgeons - weeks before they were born - in a UK surgery first.… https://t.co/DicKzhXbBr,87
87,-0.6124,Thu Oct 25 12:32:10 +0000 2018,0.2,0.8,0.0,BBC,RT @BBCSport: .@MarkOrmrod became the UK's first triple amputee from the conflict when he was injured in Afghanistan on Christmas Eve 2007.…,88
88,0.0,Thu Oct 25 12:03:00 +0000 2018,0.0,1.0,0.0,BBC,"👏🥛 These savvy students redesigned their school's milk cartons without plastic straws. 
#PlasticsAction https://t.co/eS89ynRUbI",89
89,0.743,Thu Oct 25 11:00:18 +0000 2018,0.0,0.656,0.344,BBC,"How a daily 10-minute exercise could boost your happiness.
👉 https://t.co/lq43mnEGdh https://t.co/YTjD7tMvEK",90
90,0.0,Thu Oct 25 08:01:01 +0000 2018,0.0,1.0,0.0,BBC,☄ How Japan's space agency put a rover on an asteroid! https://t.co/wcMHNnzSo7,91
91,0.4939,Thu Oct 25 07:05:08 +0000 2018,0.0,0.856,0.144,BBC,"Dogs were part of a key moment in human history - when our ancestors began trying their hand at farming.
👉… https://t.co/kuOm6vYZgz",92
92,0.7096,Thu Oct 25 06:12:06 +0000 2018,0.0,0.688,0.312,BBC,"⚽️ Teenager Ajibade Rasheedat is one of the best female freestyle footballers in Nigeria. 
 https://t.co/6PGCbngSoJ",93
93,0.0,Wed Oct 24 18:08:05 +0000 2018,0.0,1.0,0.0,BBC,"🐛😱 Four mind-blowing ways caterpillars survive winter...  
#Autumnwatch https://t.co/ZSS3PfyRk6",94
94,0.0,Wed Oct 24 17:09:01 +0000 2018,0.0,1.0,0.0,BBC,"Nasa has released a striking photo of a rectangular iceberg floating in the Weddell Sea off Antarctica.
👉… https://t.co/RN9mOO20Oz",95
95,-0.296,Wed Oct 24 16:05:03 +0000 2018,0.216,0.784,0.0,BBC,📚 This is the library with no rules. https://t.co/TLWJHUF71j,96
96,-0.5574,Wed Oct 24 14:37:31 +0000 2018,0.159,0.841,0.0,BBC,The European Parliament has voted for a complete ban on a range of single-use plastics across the union in a bid to… https://t.co/gPRzeoG5NS,97
97,-0.8074,Wed Oct 24 13:04:05 +0000 2018,0.341,0.659,0.0,BBC,"FOMOMG = Fear Of Missing Out [on] My Goals

Does the pressure of achieving your life goals fill you with anxiety?
👉… https://t.co/kq7gLl4jJS",98
98,0.3802,Wed Oct 24 12:17:24 +0000 2018,0.067,0.799,0.134,BBC,RT @BBCBodyPositive: That’s a wrap on our first Insta #AskMeAnything 🎉! Big thanks to @MunroeBergdorf for stopping by to answer your questi…,99
99,0.0,Wed Oct 24 12:04:00 +0000 2018,0.0,1.0,0.0,BBC,"These incredible Army veterans have completed a gruelling 1000-mile expedition across Australia.

They’ve been reun… https://t.co/pDFwDiX9P4",100
100,-0.1531,Wed Oct 31 00:29:02 +0000 2018,0.15,0.728,0.121,CBS,"So goodbye, everybody, and remember the terrible lesson you learned tonight. That grinning, glowing, globular invad… https://t.co/ZZIuNWG6M0",1
101,0.0,Wed Oct 31 00:25:15 +0000 2018,0.0,1.0,0.0,CBS,This is the end now.,2
102,-0.0688,Wed Oct 31 00:23:18 +0000 2018,0.145,0.723,0.133,CBS,TRAFFIC ALERT: Alien invaders enter #Manhattan. Arteries out of the city are hopelessly jammed resulting in residen… https://t.co/PgDXU6b1jg,3
103,0.1779,Wed Oct 31 00:20:12 +0000 2018,0.08,0.804,0.116,CBS,#NJUFO UPDATE: Secretary of Interior urges citizens to remain calm. Alien objectives appear to be: crush resistance… https://t.co/izGHtGMxOv,4
104,-0.5267,Wed Oct 31 00:17:29 +0000 2018,0.216,0.784,0.0,CBS,"#NJUFO alien opens fire with “heat ray” on #GroversMill #NewJersey farm, cars, and onlookers. Casualties unclear. N… https://t.co/p6dgNopl9W",5
105,0.3612,Wed Oct 31 00:15:18 +0000 2018,0.0,0.865,0.135,CBS,"UPDATE: #NJUFO opens and “gray snake with tentacles” emerges, “large as a bear” and “glistening like wet leather.”",6
106,0.3182,Wed Oct 31 00:13:22 +0000 2018,0.0,0.874,0.126,CBS,"UPDATE: Huge metallic cylinder, formerly thought to be meteorite, plummets from space onto #NewJersey farm resultin… https://t.co/qEl23BeCVJ",7
107,0.0,Wed Oct 31 00:11:28 +0000 2018,0.0,1.0,0.0,CBS,"“Huge, flaming object” believed to be a meteorite, falls on farm in the neighborhood of #GroversMill, #NewJersey, 2… https://t.co/RnTfnI5PIW",8
108,0.0,Wed Oct 31 00:09:05 +0000 2018,0.0,1.0,0.0,CBS,SCIENCE NEWS: Scientists at McGill University report observing a total of three explosions on the planet #Mars over the past two hours.,9
109,-0.3818,Wed Oct 31 00:06:38 +0000 2018,0.148,0.852,0.0,CBS,"Seismograph registers shock of almost #earthquake intensity occurring within a radius of twenty miles of #Princeton, #NewJersey.",10
110,0.0,Wed Oct 31 00:02:48 +0000 2018,0.0,1.0,0.0,CBS,Explosions of incandescent gas occurring at regular intervals on #Mars. Spectroscope indicates the gas to be hydrog… https://t.co/T3sWoFWYFE,11
111,0.4939,Wed Oct 31 00:01:37 +0000 2018,0.0,0.849,0.151,CBS,"Today, it would have been live-tweeted, so Ladies and Gentlemen, in honor of the #WarOfTheWorlds anniversary, we in… https://t.co/QZ3726DaPk",12
112,-0.3818,Wed Oct 31 00:00:06 +0000 2018,0.143,0.772,0.085,CBS,"At 8pm Eastern Time on October 30, 1938, 80 years ago tonight, an original dramatization of The War of the Worlds b… https://t.co/BBC3IIcwz9",13
113,0.34,Tue Oct 30 23:50:00 +0000 2018,0.0,0.806,0.194,CBS,Get excited. CBS Tuesday night shows are about to begin. https://t.co/o15YLjdJGw,14
114,0.0,Tue Oct 30 20:02:57 +0000 2018,0.0,1.0,0.0,CBS,"RT @MadamSecretary: While what you see on #MadamSecretary is fiction, what happens in our government is not. Election day is in just 1 week…",15
115,0.4404,Tue Oct 30 18:28:51 +0000 2018,0.0,0.861,0.139,CBS,"Last night, @GayleKing was inducted into the Broadcast and Cable Hall of Fame, joining such distinguished past hono… https://t.co/T1edMt91Tv",16
116,0.4019,Tue Oct 30 00:00:00 +0000 2018,0.0,0.748,0.252,CBS,It's CBS Monday night. The party starts now. https://t.co/8qZ8PoNLGg,17
117,0.7717,Mon Oct 29 23:48:12 +0000 2018,0.057,0.716,0.227,CBS,RT @NiallOfficial: This is brilliant 😂 . The boyos @benwinston and @Harry_Styles have a new episode of their show and it’s on CBS at 8:30pm…,18
118,-0.6486,Mon Oct 29 19:45:33 +0000 2018,0.31,0.69,0.0,CBS,"RT @YandR_CBS: Genoa City will miss Ashley Abbott, and we will miss @eileen_davidson. 😢 #YR https://t.co/Ckl6naAPD2",19
119,0.1867,Mon Oct 29 17:40:25 +0000 2018,0.0,0.902,0.098,CBS,RT @etnow: .@TheNeighborhood's @iamgreenfield and @BethBehrs will be with us LIVE soon! Don't miss it: https://t.co/q5g6PNhb9G https://t.co…,20
120,0.8016,Mon Oct 29 17:14:07 +0000 2018,0.0,0.754,0.246,CBS,"RT @colbertlateshow: We love making this show for you, it's a party every night! Here are some of the moments you don't usually see, featur…",21
121,-0.2263,Sun Oct 28 23:19:02 +0000 2018,0.087,0.913,0.0,CBS,"Due to #NFL football game overrun #CBS Sunday lineup is delayed in these select markets: IN, Louisville, KY, MI, Ci… https://t.co/P1aMG6qILv",22
122,0.0,Sun Oct 28 15:09:13 +0000 2018,0.0,1.0,0.0,CBS,RT @CBSAllAccess: Sundays were made for NFL on CBS. 🏈💯 Stream NFL on CBS All Access live today: https://t.co/vsod8jYeZl https://t.co/44QxjR…,23
123,0.3612,Sat Oct 27 00:00:01 +0000 2018,0.0,0.737,0.263,CBS,Smile. CBS Friday night shows start NOW. https://t.co/nWA4zKI3DV,24
124,0.6408,Fri Oct 26 23:57:04 +0000 2018,0.0,0.754,0.246,CBS,"DVR ALERT for following regions: Indiana; Michigan; Louisville, KY; Cincinnati, OH; &amp; Tampa, FL. Please note *possi… https://t.co/DZxeR8ZgTQ",25
125,0.5267,Fri Oct 26 23:00:00 +0000 2018,0.0,0.761,0.239,CBS,Get into the Halloween spirit by watching the spooktacular #MichaelJacksonHalloween special. Settle in for a thrill… https://t.co/wJypwKRw9x,26
126,0.0,Fri Oct 26 16:52:53 +0000 2018,0.0,1.0,0.0,CBS,"RT @CBSAllAccess: Adam Scott has officially entered the fifth dimension! 🌀 @mradamscott will star in ""Nightmare at 30,000 Feet"" in the reim…",27
127,0.5106,Fri Oct 26 00:49:41 +0000 2018,0.0,0.853,0.147,CBS,RT @NCIS_CBS: Get ready to test your #NCIS know-how. You know how important it is to follow Gibbs' rules. We're going to give you part of a…,28
128,0.0,Fri Oct 26 00:00:00 +0000 2018,0.0,1.0,0.0,CBS,CBS Thursday night shows start NOW. Quack. 🦆 https://t.co/C4BCCreG7L,29
129,0.8832,Thu Oct 25 16:57:22 +0000 2018,0.0,0.609,0.391,CBS,"RT @CBSAllAccess: There is a new series joining the #StarTrek family!

From Emmy Award winner @MikeMcMahanTM, #CBSAllAccess welcomes its fi…",30
130,0.5719,Thu Oct 25 00:00:01 +0000 2018,0.0,0.654,0.346,CBS,Celebrate. CBS Wednesday night shows start NOW. https://t.co/5o4IUzXuYd,31
131,0.7227,Wed Oct 24 20:12:06 +0000 2018,0.0,0.758,0.242,CBS,"@jayharrington3 @swatcbs Three hour tours have resulted positively for all but one CBS show, so your odds are good. 😉",32
132,0.34,Wed Oct 24 20:05:35 +0000 2018,0.0,0.862,0.138,CBS,.@ScottBakula and the cast of #NCISNOLA are full of Pride over their 100 episode milestone. https://t.co/zlceV7tXTb,33
133,-0.5574,Wed Oct 24 19:40:11 +0000 2018,0.265,0.735,0.0,CBS,@GordonRamsay We'll have our water chefs fired right away. 😉,34
